warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68,time=69,time=70,time=71
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(36, 24)","(35, 24)","(35, 23)","(34, 23)","(34, 24)","(33, 24)","(32, 24)","(31, 24)","(31, 23)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(24, 20)","(24, 19)","(23, 19)","(23, 20)","(23, 21)","(22, 21)","(21, 21)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(17, 25)","(17, 26)","(17, 27)","(17, 26)","(17, 25)","(16, 25)","(16, 24)","(15, 24)","(14, 24)","(14, 23)","(14, 22)","(14, 21)","(13, 21)","(13, 20)","(12, 20)","(11, 20)","(10, 20)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(37, 25)","(36, 25)","(36, 24)","(36, 23)","(36, 22)","(36, 21)","(36, 20)","(36, 19)","(36, 18)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(32, 20)","(32, 21)","(32, 22)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(25, 18)","(25, 17)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(38, 23)","(38, 22)","(38, 21)","(38, 20)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(37, 10)","(37, 9)","(37, 8)","(37, 9)","(37, 10)","(36, 10)","(36, 11)","(36, 12)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(32, 13)","(31, 13)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(8, 16)","(8, 17)","(7, 17)","(6, 17)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(38, 25)","(37, 25)","(37, 24)","(37, 23)","(37, 22)","(37, 21)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(37, 16)","(37, 15)","(37, 14)","(37, 13)","(37, 12)","(37, 11)","(36, 11)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(31, 11)","(30, 11)","(30, 10)","(30, 9)","(30, 10)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(8, 15)","(7, 15)","(7, 16)","(7, 17)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(37, 25)","(36, 25)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(34, 21)","(33, 21)","(32, 21)","(31, 21)","(31, 22)","(31, 23)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(28, 27)","(28, 28)","(28, 29)","(27, 29)","(26, 29)","(25, 29)","(24, 29)","(23, 29)","(23, 30)","(22, 30)","(22, 29)","(21, 29)","(20, 29)","(19, 29)","(18, 29)","(17, 29)","(16, 29)","(15, 29)","(14, 29)","(13, 29)","(12, 29)","(11, 29)","(10, 29)","(9, 29)","(9, 28)","(9, 27)","(9, 26)","(8, 26)","(8, 25)","(7, 25)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(1, 24)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(37, 23)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(34, 30)","(33, 30)","(33, 31)","(33, 32)","(33, 33)","(33, 32)","(33, 31)","(33, 30)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(29, 27)","(29, 26)","(28, 26)","(28, 25)","(27, 25)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(22, 23)","(22, 22)","(22, 21)","(22, 20)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(38, 23)","(37, 23)","(37, 24)","(37, 25)","(37, 26)","(37, 27)","(36, 27)","(35, 27)","(35, 28)","(35, 29)","(35, 30)","(35, 31)","(35, 32)","(35, 33)","(34, 33)","(34, 32)","(33, 32)","(32, 32)","(32, 31)","(32, 30)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(28, 27)","(28, 26)","(28, 25)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(23, 22)","(23, 21)","(22, 21)","(21, 21)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(37, 25)","(37, 26)","(37, 27)","(37, 28)","(37, 29)","(36, 29)","(35, 29)","(35, 30)","(35, 31)","(35, 32)","(35, 33)","(35, 34)","(34, 34)","(34, 33)","(33, 33)","(33, 32)","(33, 31)","(33, 30)","(32, 30)","(31, 30)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(28, 28)","(27, 28)","(27, 27)","(27, 26)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(24, 20)","(23, 20)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(36, 24)","(35, 24)","(35, 23)","(34, 23)","(34, 22)","(34, 21)","(33, 21)","(33, 20)","(32, 20)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(31, 23)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(26, 26)","(26, 27)","(26, 28)","(26, 29)","(26, 28)","(26, 27)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(21, 23)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,24,18,"(39, 24)","(38, 24)","(37, 24)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(34, 22)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(31, 20)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(28, 26)","(27, 26)","(26, 26)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(23, 21)","(22, 21)","(22, 20)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(2, 19)","(2, 18)","(1, 18)","(0, 18)",,,,,,
